JID,CID,Smiles,Carbon,Fluorine,Chlorine,Bromine,Iodine,Sulfur,Phosphorous,Acyclic nitrogen,Cyclic nitrogen,Acyclic oxygen,Cyclic oxygen,Heavy atoms,Acyclic single bonds,Acyclic double bonds,Acyclic triple bonds,Cyclic single bonds,Cyclic double bonds,Cyclic triple bonds,Rotable bonds,H-bond acceptor sites,H-bond acceptor atoms,H-bond donor sites,H-bond donor atoms,Negative charges,Positive charges,Acyclic single valent nodes,Acyclic divalent nodes,Acyclic trivalent nodes,Acyclic tetravalent nodes,Cyclic divalent nodes,Cyclic trivalent nodes,Cyclic tetravalent nodes,3-membered rings,4-membered rings,5-membered rings,6-membered rings,7-membered rings,8-membered rings,9-membered rings,>= 10-membered rings,nodes shared by >= 2 rings,edges shared by >= 2 rings,Functional groups
6935,149800039,CC(=S)CCOCCCCOCCC(=S)C,12,0,0,0,0,2,0,0,0,2,0,16,13,2,0,0,0,0,11,4,2,0,0,0,0,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Ether']
6936,65615349,CC1=CSC(=N1)CC(CC2=NC=NN2C)N,10,0,0,0,0,1,0,1,4,0,0,16,7,0,0,5,5,0,4,5,5,2,1,0,0,3,2,1,0,6,4,0,0,0,2,0,0,0,0,0,0,0,['Alkane'; 'Amine']
6937,22012594,C=CC(=O)C1=CC=CC=C1C2=CC=CC=C2,15,0,0,0,0,0,0,0,0,1,0,16,3,2,0,6,6,0,3,2,1,0,0,0,0,2,1,1,0,9,3,0,0,0,0,2,0,0,0,0,0,0,['Vinylic carbon'; 'Ketone']
6938,129503835,C[C@@](CC1=CC=CC=C1)(C#N)NC2CNC2,13,0,0,0,0,0,0,2,1,0,0,16,6,0,1,7,3,0,4,3,3,2,2,0,0,2,3,0,1,8,2,0,0,1,0,1,0,0,0,0,0,0,['Alkane'; 'Amine'; 'Nitrile']
6939,57092394,CC1=CC2=C(SC3=CC=CC(=C32)N=C1)C=O,13,0,0,0,0,1,0,0,1,1,0,16,2,1,0,8,7,0,1,3,2,0,0,0,0,2,1,0,0,7,6,0,0,0,1,1,1,0,0,0,4,3,['Alkane'; 'Vinylic carbon'; 'Aldehyde'; 'Imine']
6940,241378,CC(C)OCC1=C(C=CC(=C1)C(C)(C)C)O,14,0,0,0,0,0,0,0,0,2,0,16,10,0,0,3,3,0,3,4,2,1,1,0,0,6,2,1,1,3,3,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Ether']
6941,63574000,CCC(C)N(C)CC1=C(OC=C1)C(=O)NN,11,0,0,0,0,0,0,3,0,1,1,16,10,1,0,3,2,0,5,7,5,3,2,0,0,5,3,3,0,3,2,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Amide'; 'Amine']
6942,79659133,CN1CCN(C(C1)C(=O)C2=CC=CC=C2)C,13,0,0,0,0,0,0,0,2,1,0,16,4,1,0,9,3,0,2,4,3,0,0,0,0,3,0,1,0,8,4,0,0,0,0,2,0,0,0,0,0,0,['Alkane'; 'Ketone']
6943,82177219,CCCCS(=O)(=O)N(C1CCNC1)C(C)C,11,0,0,0,0,1,0,1,1,2,0,16,9,2,0,5,0,0,6,6,4,1,1,0,0,5,3,2,1,4,1,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Amine']
6944,65924101,CC1CCCC(C1)C(C#N)NC2CCCC2,14,0,0,0,0,0,0,2,0,0,0,16,5,0,1,11,0,0,3,2,2,1,1,0,0,2,2,1,0,8,3,0,0,0,1,1,0,0,0,0,0,0,['Alkane'; 'Amine'; 'Nitrile']
6945,81532005,CCNC1(CC2CCC1C2)C3=NC(=CS3)C,13,0,0,0,0,1,0,1,1,0,0,16,5,0,0,11,2,0,3,2,2,1,1,0,0,2,2,0,0,7,4,1,0,0,3,0,0,0,0,0,3,2,['Alkane'; 'Amine']
6946,63043087,CC1(CC1(CN)CO)C2=CC(=CC=C2)OC,13,0,0,0,0,0,0,1,0,2,0,16,8,0,0,6,3,0,4,5,3,3,2,0,0,4,3,0,0,5,2,2,1,0,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Ether'; 'Amine']
6947,80373136,CC1=CC(=CC=C1)N(C)C(=O)C2=NC=NN2,11,0,0,0,0,0,0,1,3,1,0,16,5,1,0,6,5,0,2,6,5,1,1,0,0,3,0,2,0,8,3,0,0,0,1,1,0,0,0,0,0,0,['Alkane'; 'Amide']
6948,64541571,CCOC(C)C(CC1=CC(=CC=C1)OC)O,13,0,0,0,0,0,0,0,0,3,0,16,10,0,0,3,3,0,6,6,3,1,1,0,0,4,4,2,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Ether']
6949,79224920,CCCNCCCC1=C(N(N=C1C)CC)C,13,0,0,0,0,0,0,1,2,0,0,16,11,0,0,3,2,0,7,3,3,1,1,0,0,4,7,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Amine']
6950,79099817,CCC(=O)C1=CN(C=C1)CC(=O)NC(C)C,12,0,0,0,0,0,0,1,1,2,0,16,9,2,0,3,2,0,5,6,4,1,1,0,0,5,3,3,0,3,2,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Ketone'; 'Amide']
6951,23541511,CC1(CC(CC(N1C)(C)C)OCOC=C)C,13,0,0,0,0,0,0,0,1,2,0,16,9,1,0,6,0,0,4,5,3,0,0,0,0,6,4,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Ether']
6952,138766053,CC(C)CN(CC1CCCO1)C(=O)C(C)C,13,0,0,0,0,0,0,1,0,1,1,16,10,1,0,5,0,0,5,5,3,0,0,0,0,5,2,4,0,4,1,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Amide']
6953,130434367,C1COCC2N1CC3=C(C2)C(=O)NC(=S)N3,10,0,0,0,0,1,0,0,3,1,1,16,0,2,0,13,3,0,0,7,5,2,2,0,0,2,0,0,0,8,6,0,0,0,0,3,0,0,0,0,4,2,['Alkane'; 'Ether']
6954,105479825,CC1=C(C(=NN1C2CN(C2)C)C)C(C)CN,12,0,0,0,0,0,0,1,3,0,0,16,8,0,0,7,2,0,3,4,4,2,1,0,0,5,1,1,0,3,6,0,0,1,1,0,0,0,0,0,0,0,['Alkane'; 'Amine']
6955,117058869,CN(C)C1=NC(=C(C=C1)[N+](=O)[O-])S(=O)(=O)N,7,0,0,0,0,1,0,3,1,4,0,16,7,3,0,3,3,0,3,13,8,2,1,1,1,7,0,2,1,3,3,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Amine']
6956,76284059,CC1=CC=C(C=C1)S(=O)CCCCN=C=S,12,0,0,0,0,2,0,1,0,1,0,16,7,3,0,3,3,0,6,3,2,0,0,0,0,3,6,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane']
6957,88799210,C1=CC=C(C=C1)C(=S)SN2C(=O)C=CC2=O,11,0,0,0,0,2,0,0,1,2,0,16,3,3,0,7,4,0,2,5,3,0,0,0,0,3,1,1,0,7,4,0,0,0,1,1,0,0,0,0,0,0,['Vinylic carbon'; 'Amide']
